stage,year,population,value,lower,upper
pldhiv,1983,female,0,0,0
pldhiv,1984,female,11.213513255794478,10.717285750539714,13.27990823768538
pldhiv,1985,female,80.40987305058187,77.6389347777687,86.44629901775562
pldhiv,1986,female,136.4152417198064,129.9832277939765,144.9205794266028
pldhiv,1987,female,200.51276421028624,191.08739530253015,212.7948499400449
pldhiv,1988,female,264.93849368974935,252.93907697990693,280.00782487378785
pldhiv,1989,female,318.0355438083033,303.29054642072856,335.24802299110337
pldhiv,1990,female,381.04917358411376,362.6897981185491,405.53077706552494
pldhiv,1991,female,431.1187818124837,409.7227572215242,459.5028985101253
pldhiv,1992,female,493.6177493865206,468.544048942116,526.1982701575522
pldhiv,1993,female,528.0317757112504,500.12940350353017,563.715072066173
pldhiv,1994,female,577.2787968351643,543.7071660227643,617.1113927461427
pldhiv,1995,female,606.9709690172909,569.6532629511937,649.8307046310113
pldhiv,1996,female,647.4172332108593,606.5346151249477,693.9840841091146
pldhiv,1997,female,711.2305378028951,666.1792213044685,762.4064821083346
pldhiv,1998,female,789.4858532156536,740.036217440217,845.1543324569012
pldhiv,1999,female,847.2796108746251,793.7090273543755,907.43016139465
pldhiv,2000,female,903.073086286162,844.1225106854129,968.7148506387506
pldhiv,2001,female,979.9167007780628,914.3945366322456,1052.709615533466
pldhiv,2002,female,1043.8000689437963,970.8954878577956,1123.1867841429334
pldhiv,2003,female,1112.6056170001696,1032.9295138526616,1199.950201009054
pldhiv,2004,female,1220.3339642859803,1128.42853427108,1319.870448173445
pldhiv,2005,female,1294.4271906223123,1190.5073457757485,1406.1097704555716
pldhiv,2006,female,1414.8592559376402,1296.4133752028818,1541.0937144277923
pldhiv,2007,female,1528.4939175450568,1394.884377192899,1670.4767608652369
pldhiv,2008,female,1644.6542487512952,1493.2554307208145,1804.066068627539
pldhiv,2009,female,1764.2996086254614,1594.5093508541183,1942.3060186210864
pldhiv,2010,female,1881.8299471622877,1691.6062713132349,2081.337269103209
pldhiv,2011,female,1996.8566511806791,1786.6667675633544,2217.3472349721155
pldhiv,2012,female,2120.1247145252114,1889.895988850497,2362.5922403316104
pldhiv,2013,female,2252.2568304244596,2000.7993296697048,2518.285495443941
pldhiv,2014,female,2399.023644205286,2124.928431826042,2689.533935606331
pldhiv,2015,female,2541.297871854153,2244.606455410669,2856.6055613677495
pldhiv,2016,female,2670.3060198299804,2359.582851399788,2999.5312286645435
pldhiv,2017,female,2820.002768841972,2503.728523805014,3150.959611243336
pldhiv,2018,female,2968.8584991879693,2656.899250430116,3288.681596282015
pldhiv,2019,female,3149.6519807126483,2851.106591327062,3446.720246272159
pldhiv,2020,female,3316.6449760213804,3028.4723406399016,3595.6819503306374
pldhiv,2021,female,3435.085054825427,3159.8355097333774,3691.4396800691657
pldhiv,2022,female,3619.426790399805,3372.5621836587643,3831.894359173437
pldhiv,2023,female,3850.784181459621,3633.7571562652392,4019.697336381168
retained,2013,female,2139.6439889032367,1828.7305873181103,2488.0660694986136
retained,2014,female,2284.0304441930457,1947.8510625072056,2658.1560396909235
retained,2015,female,2424.737009465109,2102.22222222222,2824.230698338915
retained,2016,female,2553.346616161427,2255.27222222222,2966.5363851492334
retained,2017,female,2702.314653288967,2437.53888888889,3117.3493753900734
retained,2018,female,2851.09377872018,2559.79444444444,3254.6985531204346
retained,2019,female,3031.225066237853,2772.08888888889,3412.2530438094373
retained,2020,female,3207.195691812675,3009.23333333333,3477.0244459697265
retained,2021,female,3321.727248016188,3066.23333333333,3569.622170626883
retained,2022,female,3499.9857063166114,3274.66666666667,3705.4418453207136
retained,2023,female,3723.7083034714537,3623.26111111111,3887.047324280589
numART,2000,female,752.262995074694,628.492172600813,956.724252506196
numART,2001,female,817.194407131517,643.224460810893,987.156470489432
numART,2002,female,823.47030569463,662.599898006986,1024.19222884416
numART,2003,female,865.711930638661,688.750284110033,1068.98141089971
numART,2004,female,917.005332356413,723.823220423615,1122.73639308892
numART,2005,female,1020.19558757683,770.468224613663,1186.66557985627
numART,2006,female,1142.0928481296,831.008439556309,1261.87427966979
numART,2007,female,1198.81731591159,909.109135672169,1349.23162103427
numART,2008,female,1231.04164122603,1008.04073508422,1449.20980678465
numART,2009,female,1315.5248911141,1130.39597583574,1561.71306666766
